地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/05/14,02:18:31.8,父島近海,26°38.1′N,142°39.6′E,8 km,4.6,震度１
2023/05/14,02:03:07.3,トカラ列島近海,29°55.5′N,129°59.8′E,10 km,2.2,震度１
2023/05/14,00:36:46.8,トカラ列島近海,29°55.0′N,130°02.2′E,11 km,2.7,震度１
2023/05/14,00:09:41.9,トカラ列島近海,29°55.2′N,130°00.0′E,12 km,3.2,震度３
2023/05/13,22:59:32.7,トカラ列島近海,29°55.0′N,130°00.2′E,10 km,2.0,震度１
2023/05/13,22:11:52.0,トカラ列島近海,29°55.1′N,130°02.4′E,9 km,2.3,震度１
2023/05/13,19:51:52.0,トカラ列島近海,29°57.7′N,129°59.6′E,1 km,2.6,震度１
2023/05/13,19:47:28.8,トカラ列島近海,29°55.5′N,130°00.6′E,9 km,2.0,震度１
2023/05/13,19:45:57.2,能登半島沖,37°31.6′N,137°08.6′E,10 km,2.5,震度１
2023/05/13,19:01:34.2,トカラ列島近海,29°55.7′N,130°00.6′E,13 km,2.8,震度２
2023/05/13,17:57:28.8,トカラ列島近海,29°55.7′N,129°59.7′E,13 km,不明,震度１
2023/05/13,17:51:42.6,トカラ列島近海,29°55.0′N,130°01.7′E,11 km,2.6,震度１
2023/05/13,17:39:47.1,トカラ列島近海,29°56.0′N,130°01.2′E,13 km,2.4,震度１
2023/05/13,17:32:20.8,トカラ列島近海,29°56.0′N,130°00.1′E,12 km,2.1,震度１
2023/05/13,17:28:11.3,トカラ列島近海,29°55.7′N,130°00.7′E,13 km,2.9,震度２
2023/05/13,17:16:30.7,トカラ列島近海,29°55.5′N,130°01.4′E,13 km,3.2,震度１
2023/05/13,17:03:20.8,トカラ列島近海,29°54.8′N,130°01.6′E,13 km,2.3,震度１
2023/05/13,16:54:14.1,トカラ列島近海,29°55.2′N,130°00.3′E,11 km,2.2,震度１
2023/05/13,16:48:29.9,山梨県東部・富士五湖,35°28.7′N,138°56.7′E,24 km,2.8,震度１
2023/05/13,16:35:01.1,トカラ列島近海,29°56.4′N,129°59.0′E,11 km,2.5,震度１
2023/05/13,16:31:51.6,トカラ列島近海,29°55.5′N,130°01.0′E,7 km,2.1,震度１
2023/05/13,16:20:12.9,トカラ列島近海,29°55.4′N,129°59.9′E,15 km,2.8,震度２
2023/05/13,16:18:50.2,トカラ列島近海,29°56.0′N,130°00.6′E,11 km,2.5,震度１
2023/05/13,16:16:46.8,トカラ列島近海,29°55.2′N,129°59.7′E,11 km,2.8,震度２
2023/05/13,16:15:18.0,トカラ列島近海,29°55.9′N,130°02.7′E,5 km,2.9,震度１
2023/05/13,16:14:50.5,トカラ列島近海,29°55.8′N,130°00.9′E,9 km,3.6,震度３
2023/05/13,16:13:19.7,トカラ列島近海,29°54.7′N,130°00.7′E,12 km,2.6,震度１
2023/05/13,16:10:27.7,トカラ列島近海,29°55.6′N,130°00.9′E,12 km,5.1,震度５弱
2023/05/13,05:25:45.0,能登半島沖,37°34.5′N,137°16.3′E,9 km,3.3,震度１
2023/05/13,00:37:04.9,トカラ列島近海,29°55.5′N,130°01.3′E,11 km,2.5,震度１
2023/05/13,00:32:23.3,愛媛県南予,33°28.6′N,132°24.3′E,41 km,3.1,震度１
2023/05/12,21:45:05.7,愛媛県南予,33°28.9′N,132°24.1′E,42 km,4.2,震度３
2023/05/12,21:15:17.0,石川県能登地方,37°29.1′N,137°17.6′E,7 km,2.5,震度１
2023/05/12,20:50:06.5,徳島県北部,34°02.0′N,134°13.5′E,49 km,3.1,震度１
2023/05/12,17:57:09.9,能登半島沖,37°32.0′N,137°19.0′E,13 km,2.6,震度１
2023/05/12,17:40:05.5,石川県能登地方,37°30.6′N,137°14.9′E,12 km,3.3,震度２
2023/05/12,15:34:19.4,トカラ列島近海,29°55.3′N,130°02.6′E,12 km,2.6,震度１
2023/05/12,15:05:44.8,神奈川県西部,35°32.7′N,139°13.5′E,138 km,3.7,震度１
2023/05/12,12:32:42.7,秋田県内陸北部,40°02.1′N,140°32.2′E,8 km,2.9,震度１
2023/05/12,09:39:29.4,福島県中通り,37°09.3′N,140°05.4′E,6 km,2.9,震度１
2023/05/12,06:26:52.4,能登半島沖,37°32.9′N,137°17.7′E,11 km,2.8,震度１
2023/05/12,05:50:22.3,石川県能登地方,37°29.2′N,137°17.5′E,7 km,2.5,震度１
2023/05/11,22:50:09.1,宮古島近海,24°18.0′N,125°15.4′E,38 km,4.6,震度１
2023/05/11,22:33:15.1,宮古島近海,24°13.6′N,125°14.7′E,33 km,5.9,震度３
2023/05/11,19:48:32.4,長野県中部,36°24.3′N,138°03.1′E,3 km,2.0,震度１
2023/05/11,19:41:29.0,千葉県北東部,35°52.0′N,140°31.1′E,40 km,3.7,震度２
2023/05/11,18:56:20.7,沖縄本島近海,27°25.4′N,128°37.0′E,41 km,3.2,震度１
2023/05/11,18:52:44.5,日高地方東部,42°22.4′N,143°00.4′E,55 km,5.5,震度４
2023/05/11,15:39:53.7,富山湾,37°25.9′N,137°18.0′E,6 km,2.3,震度１
2023/05/11,14:48:51.7,トカラ列島近海,29°46.9′N,129°49.6′E,11 km,2.1,震度１
2023/05/11,12:45:01.0,トカラ列島近海,29°55.9′N,130°01.2′E,14 km,2.5,震度２
2023/05/11,12:36:15.6,トカラ列島近海,29°55.4′N,130°01.6′E,13 km,3.2,震度２
2023/05/11,12:14:24.1,トカラ列島近海,29°55.2′N,130°00.8′E,13 km,2.3,震度１
2023/05/11,12:13:21.1,トカラ列島近海,29°55.5′N,130°01.2′E,12 km,3.2,震度１
2023/05/11,12:12:13.2,トカラ列島近海,29°55.6′N,130°01.7′E,11 km,2.7,震度１
2023/05/11,12:11:04.9,トカラ列島近海,29°55.2′N,130°02.5′E,13 km,4.3,震度４
2023/05/11,06:58:43.3,能登半島沖,37°32.5′N,137°12.5′E,8 km,3.3,震度２
2023/05/11,04:16:41.9,千葉県南部,35°10.2′N,140°11.1′E,40 km,5.2,震度５強
2023/05/10,21:54:47.9,能登半島沖,37°39.1′N,137°17.3′E,13 km,5.0,震度３
2023/05/10,21:53:42.1,岩手県沿岸北部,39°45.4′N,141°50.3′E,58 km,3.6,震度１
2023/05/10,17:29:37.6,富山湾,37°25.9′N,137°19.3′E,6 km,2.9,震度２
2023/05/10,11:20:56.3,千葉県北西部,35°43.5′N,139°59.7′E,66 km,3.9,震度３
2023/05/10,07:14:39.0,能登半島沖,37°36.0′N,137°17.1′E,12 km,4.9,震度４
2023/05/10,03:02:50.8,岩手県沖,39°52.1′N,142°16.6′E,32 km,4.2,震度２
2023/05/10,02:59:33.5,能登半島沖,37°32.0′N,137°19.2′E,14 km,3.2,震度１
2023/05/10,02:40:51.2,熊本県熊本地方,32°48.1′N,130°53.3′E,6 km,3.1,震度２
2023/05/09,23:15:04.3,富山湾,37°26.0′N,137°19.7′E,6 km,1.7,震度１
2023/05/09,21:32:07.6,岩手県沖,39°38.0′N,142°06.2′E,49 km,3.8,震度２
2023/05/09,13:22:35.2,青森県東方沖,40°58.5′N,142°00.6′E,59 km,3.8,震度２
2023/05/09,11:05:54.5,能登半島沖,37°35.4′N,137°15.1′E,9 km,4.2,震度２
2023/05/09,09:06:06.3,石川県能登地方,37°27.5′N,137°16.3′E,9 km,2.3,震度１
2023/05/09,05:16:14.8,石川県能登地方,37°31.5′N,137°19.0′E,14 km,4.4,震度３
2023/05/09,05:14:19.4,石川県能登地方,37°31.2′N,137°18.6′E,15 km,4.7,震度４
2023/05/09,02:40:17.8,沖縄本島近海,26°21.6′N,127°21.7′E,52 km,3.4,震度１
2023/05/09,02:14:58.9,石川県能登地方,37°31.5′N,137°16.3′E,14 km,2.9,震度１
2023/05/08,21:43:33.2,福島県沖,37°15.9′N,141°06.0′E,33 km,3.3,震度１
2023/05/08,14:56:29.1,石川県能登地方,37°31.6′N,137°18.1′E,13 km,3.8,震度２
2023/05/08,12:16:02.9,能登半島沖,37°33.3′N,137°17.8′E,10 km,3.0,震度１
2023/05/08,11:45:55.7,能登半島沖,37°32.0′N,137°18.8′E,13 km,3.5,震度２
2023/05/08,11:05:00.0,福島県中通り,37°12.6′N,139°59.0′E,120 km,3.8,震度１
2023/05/08,09:49:16.5,富山湾,37°26.0′N,137°18.8′E,5 km,1.8,震度１
2023/05/08,00:37:55.1,渡島地方西部,41°29.5′N,140°11.6′E,7 km,1.8,震度１
2023/05/07,18:56:23.4,秋田県内陸南部,39°06.1′N,140°29.3′E,2 km,2.7,震度２
2023/05/07,14:35:21.8,石川県能登地方,37°29.6′N,137°17.3′E,11 km,2.4,震度１
2023/05/07,14:24:02.6,富山湾,37°26.1′N,137°18.8′E,5 km,1.8,震度１
2023/05/07,14:11:11.3,能登半島沖,37°33.1′N,137°20.3′E,13 km,2.8,震度１
2023/05/07,13:37:50.8,石川県能登地方,37°29.6′N,137°17.6′E,11 km,2.5,震度１
2023/05/07,11:44:40.3,能登半島沖,37°34.0′N,137°15.6′E,9 km,3.5,震度１
2023/05/07,03:19:34.3,石川県能登地方,37°30.3′N,137°17.3′E,12 km,2.5,震度１
2023/05/07,03:04:54.2,石川県能登地方,37°30.0′N,137°13.5′E,12 km,3.1,震度２
2023/05/07,01:10:24.3,能登半島沖,37°31.2′N,137°14.7′E,12 km,3.0,震度１
2023/05/06,23:54:01.2,能登半島沖,37°35.4′N,137°16.6′E,12 km,4.1,震度２
2023/05/06,20:14:43.0,能登半島沖,37°33.0′N,137°19.2′E,12 km,2.8,震度１
2023/05/06,19:56:10.8,石川県能登地方,37°30.8′N,137°15.4′E,12 km,2.5,震度１
2023/05/06,12:58:57.3,奄美大島近海,28°33.0′N,129°28.6′E,0 km,3.0,震度１
2023/05/06,08:48:05.3,石川県能登地方,37°31.7′N,137°16.6′E,11 km,3.1,震度２
2023/05/06,06:48:26.1,能登半島沖,37°32.4′N,137°19.7′E,14 km,3.1,震度１
2023/05/06,05:31:15.6,能登半島沖,37°31.4′N,137°13.7′E,13 km,2.6,震度１
2023/05/06,04:44:40.1,能登半島沖,37°32.7′N,137°13.8′E,12 km,3.0,震度１
2023/05/06,02:47:16.2,青森県東方沖,41°28.4′N,142°05.1′E,56 km,5.7,震度４
2023/05/06,02:21:47.1,能登半島沖,37°33.5′N,137°15.9′E,12 km,3.0,震度１
2023/05/06,01:45:44.3,石川県能登地方,37°28.7′N,137°18.3′E,7 km,1.8,震度１
2023/05/06,01:25:17.0,能登半島沖,37°35.9′N,137°16.8′E,10 km,3.3,震度１
2023/05/06,01:02:04.1,能登半島沖,37°32.9′N,137°14.9′E,12 km,3.6,震度２
2023/05/06,01:01:48.6,根室半島南東沖,42°56.6′N,146°15.7′E,41 km,4.4,震度２
2023/05/06,00:09:05.3,能登半島沖,37°33.2′N,137°19.9′E,13 km,2.9,震度１
2023/05/05,23:42:26.1,石川県能登地方,37°30.0′N,137°12.9′E,13 km,2.6,震度１
2023/05/05,23:26:49.9,石川県能登地方,37°31.8′N,137°15.2′E,12 km,3.9,震度２
2023/05/05,23:18:50.5,石川県能登地方,37°30.2′N,137°12.8′E,14 km,4.3,震度４
2023/05/05,23:07:08.0,石川県能登地方,37°31.5′N,137°16.6′E,14 km,3.6,震度２
2023/05/05,22:51:42.5,石川県能登地方,37°31.9′N,137°15.4′E,13 km,3.8,震度３
2023/05/05,22:48:32.4,能登半島沖,37°32.2′N,137°14.6′E,13 km,3.3,震度２
2023/05/05,22:46:37.5,能登半島沖,37°31.4′N,137°14.0′E,14 km,3.5,震度３
2023/05/05,22:43:58.8,能登半島沖,37°32.9′N,137°17.6′E,11 km,2.7,震度１
2023/05/05,22:34:53.2,能登半島沖,37°31.1′N,137°12.8′E,12 km,3.6,震度２
2023/05/05,22:33:59.0,能登半島沖,37°31.1′N,137°13.2′E,13 km,4.0,震度３
2023/05/05,22:27:40.0,能登半島沖,37°31.4′N,137°13.3′E,12 km,3.6,震度２
2023/05/05,22:26:46.8,石川県能登地方,37°30.9′N,137°13.1′E,13 km,4.1,震度３
2023/05/05,22:08:37.9,能登半島沖,37°31.3′N,137°13.3′E,12 km,3.8,震度３
2023/05/05,22:07:19.1,能登半島沖,37°32.0′N,137°15.0′E,13 km,3.4,震度１
2023/05/05,22:05:52.3,石川県能登地方,37°31.1′N,137°18.5′E,14 km,3.3,震度２
2023/05/05,22:03:37.7,能登半島沖,37°32.0′N,137°13.4′E,12 km,4.0,震度２
2023/05/05,22:02:19.4,能登半島沖,37°31.1′N,137°12.8′E,13 km,3.5,震度２
2023/05/05,21:58:04.1,能登半島沖,37°31.5′N,137°14.1′E,14 km,5.9,震度５強
2023/05/05,21:37:56.4,兵庫県南東部,34°55.5′N,135°23.1′E,12 km,3.0,震度２
2023/05/05,21:34:38.0,能登半島沖,37°36.0′N,137°15.9′E,10 km,3.9,震度２
2023/05/05,21:29:03.8,能登半島沖,37°32.0′N,137°14.6′E,10 km,2.6,震度１
2023/05/05,21:24:52.9,岩手県沖,39°20.0′N,142°05.0′E,48 km,4.5,震度３
2023/05/05,18:30:28.1,石川県能登地方,37°31.6′N,137°19.0′E,13 km,2.6,震度１
2023/05/05,18:22:34.9,石川県能登地方,37°31.4′N,137°18.9′E,13 km,3.3,震度２
2023/05/05,18:15:30.9,能登半島沖,37°31.7′N,137°14.9′E,11 km,2.6,震度１
2023/05/05,18:11:30.6,石川県能登地方,37°30.2′N,137°16.5′E,12 km,2.2,震度１
2023/05/05,17:46:36.0,石川県能登地方,37°31.5′N,137°19.2′E,13 km,3.4,震度２
2023/05/05,17:38:01.7,能登半島沖,37°32.6′N,137°21.3′E,13 km,4.3,震度３
2023/05/05,17:31:53.5,能登半島沖,37°32.2′N,137°16.4′E,11 km,2.5,震度１
2023/05/05,17:01:10.9,能登半島沖,37°35.0′N,137°15.6′E,8 km,3.8,震度１
2023/05/05,16:39:47.6,能登半島沖,37°32.8′N,137°17.9′E,11 km,2.8,震度１
2023/05/05,16:24:23.3,能登半島沖,37°31.2′N,137°12.4′E,13 km,3.1,震度１
2023/05/05,16:11:01.2,能登半島沖,37°32.9′N,137°19.2′E,12 km,3.6,震度２
2023/05/05,16:07:32.1,石川県能登地方,37°30.8′N,137°13.8′E,12 km,2.9,震度１
2023/05/05,16:01:01.7,能登半島沖,37°31.4′N,137°13.0′E,13 km,2.8,震度１
2023/05/05,15:58:31.7,石川県能登地方,37°30.2′N,137°18.1′E,12 km,2.6,震度１
2023/05/05,15:48:42.0,能登半島沖,37°32.6′N,137°16.2′E,10 km,2.8,震度１
2023/05/05,15:41:03.3,能登半島沖,37°31.2′N,137°14.5′E,12 km,3.2,震度２
2023/05/05,15:32:03.9,能登半島沖,37°33.3′N,137°20.4′E,13 km,2.4,震度１
2023/05/05,15:28:54.4,石川県能登地方,37°30.9′N,137°18.3′E,12 km,3.0,震度１
2023/05/05,15:27:38.7,石川県能登地方,37°31.4′N,137°16.9′E,12 km,2.6,震度１
2023/05/05,15:14:03.8,石川県能登地方,37°31.5′N,137°15.1′E,11 km,3.4,震度２
2023/05/05,15:12:39.3,能登半島沖,37°33.6′N,137°18.9′E,11 km,3.0,震度１
2023/05/05,15:11:23.2,石川県能登地方,37°30.5′N,137°18.2′E,13 km,2.2,震度１
2023/05/05,15:06:33.6,能登半島沖,37°32.3′N,137°19.4′E,14 km,3.9,震度２
2023/05/05,15:05:31.4,石川県能登地方,37°31.0′N,137°17.0′E,13 km,3.2,震度２
2023/05/05,15:03:28.7,能登半島沖,37°31.5′N,137°14.7′E,13 km,2.9,震度１
2023/05/05,15:02:36.0,能登半島沖,37°31.6′N,137°14.9′E,13 km,3.4,震度２
2023/05/05,15:01:24.5,能登半島沖,37°31.9′N,137°13.8′E,12 km,3.0,震度１
2023/05/05,14:59:32.8,能登半島沖,37°33.8′N,137°20.6′E,12 km,3.5,震度２
2023/05/05,14:57:26.6,能登半島沖,37°33.0′N,137°19.0′E,12 km,3.5,震度２
2023/05/05,14:56:09.7,能登半島沖,37°31.2′N,137°13.0′E,12 km,3.5,震度２
2023/05/05,14:55:38.5,能登半島沖,37°33.0′N,137°19.1′E,14 km,2.9,震度１
2023/05/05,14:55:20.3,石川県能登地方,37°31.2′N,137°18.4′E,12 km,3.0,震度１
2023/05/05,14:53:37.2,能登半島沖,37°31.5′N,137°13.3′E,13 km,5.0,震度４
2023/05/05,14:51:00.6,能登半島沖,37°33.6′N,137°20.1′E,14 km,3.9,震度１
2023/05/05,14:49:08.3,石川県能登地方,37°30.9′N,137°14.6′E,11 km,3.0,震度１
2023/05/05,14:48:16.4,石川県能登地方,37°31.6′N,137°17.6′E,14 km,3.4,震度１
2023/05/05,14:47:48.2,石川県能登地方,37°30.9′N,137°19.4′E,13 km,4.0,震度３
2023/05/05,14:42:04.1,能登半島沖,37°32.3′N,137°18.2′E,12 km,6.5,震度６強
2023/05/05,13:47:57.8,茨城県北部,36°49.1′N,140°35.2′E,8 km,3.2,震度１
2023/05/05,11:24:44.1,和歌山県北部,34°04.9′N,135°21.3′E,9 km,2.4,震度１
2023/05/04,23:00:53.6,新潟県上中越沖,37°15.3′N,137°44.7′E,20 km,3.7,震度１
2023/05/04,19:51:05.9,和歌山県北部,34°12.1′N,135°14.1′E,3 km,2.2,震度１
2023/05/03,21:58:27.2,大阪湾,34°38.2′N,135°01.9′E,9 km,2.3,震度１
2023/05/03,05:34:46.1,茨城県沖,36°37.2′N,140°59.9′E,46 km,4.0,震度２
2023/05/03,04:26:49.6,トカラ列島近海,29°55.1′N,130°00.6′E,15 km,2.5,震度１
2023/05/03,01:12:40.6,福島県会津,37°04.5′N,139°21.3′E,8 km,2.3,震度１
2023/05/02,12:13:33.0,日向灘,32°37.3′N,132°02.0′E,19 km,3.1,震度１
2023/05/02,07:47:57.6,宮城県沖,38°55.2′N,141°43.8′E,76 km,3.1,震度１
2023/05/02,03:56:16.6,福島県沖,37°50.9′N,141°41.7′E,57 km,4.1,震度２
2023/05/02,00:20:19.9,福島県沖,37°51.5′N,141°43.6′E,63 km,3.8,震度１
2023/05/01,17:56:27.9,トカラ列島近海,29°55.5′N,130°01.2′E,12 km,2.6,震度１
2023/05/01,16:59:40.9,沖縄本島近海,26°03.1′N,128°40.4′E,30 km,5.3,震度２
2023/05/01,16:09:58.0,トカラ列島近海,29°56.1′N,130°01.6′E,9 km,3.0,震度２
2023/05/01,15:35:14.9,石川県能登地方,37°31.4′N,137°19.0′E,11 km,2.6,震度１
2023/05/01,13:43:47.3,沖縄本島近海,26°34.5′N,127°52.8′E,18 km,2.5,震度１
2023/05/01,13:02:33.1,沖縄本島近海,26°00.2′N,128°36.3′E,31 km,5.0,震度１
2023/05/01,12:56:33.5,トカラ列島近海,29°55.2′N,130°01.4′E,13 km,2.4,震度１
2023/05/01,12:56:31.0,福島県沖,37°41.4′N,141°35.1′E,54 km,3.8,震度１
2023/05/01,12:50:50.4,沖縄本島近海,26°05.7′N,128°45.4′E,35 km,4.3,震度１
2023/05/01,12:22:10.0,沖縄本島近海,26°02.9′N,128°44.1′E,18 km,6.4,震度２
2023/05/01,11:22:31.0,沖縄本島近海,26°06.4′N,128°37.5′E,29 km,5.5,震度１
2023/05/01,11:21:02.8,沖縄本島近海,26°04.1′N,128°39.8′E,31 km,4.8,震度１
2023/05/01,08:58:19.7,浦河沖,42°02.6′N,142°27.6′E,71 km,4.2,震度２
2023/05/01,08:50:59.8,茨城県沖,36°11.6′N,141°10.2′E,19 km,4.4,震度２
2023/05/01,07:15:06.1,徳島県北部,33°59.9′N,134°13.8′E,44 km,3.3,震度２
2023/05/01,05:04:20.6,茨城県沖,36°26.2′N,140°38.5′E,53 km,4.2,震度３
2023/05/01,04:58:41.4,父島近海,26°57.5′N,142°36.3′E,67 km,不明,震度１
2023/05/01,01:37:08.5,奄美大島近海,27°33.7′N,128°50.2′E,16 km,3.3,震度２
2023/04/30,23:48:12.7,トカラ列島近海,29°55.2′N,130°01.8′E,10 km,2.5,震度１
2023/04/30,21:21:45.5,千葉県東方沖,35°32.0′N,140°58.5′E,34 km,3.8,震度１
2023/04/30,20:36:43.2,福島県会津,37°02.7′N,139°20.4′E,7 km,2.2,震度２
2023/04/30,18:52:32.2,岐阜県美濃東部,35°38.5′N,137°11.3′E,10 km,3.7,震度３
2023/04/30,06:23:32.2,福島県会津,37°04.5′N,139°21.4′E,8 km,2.3,震度２
2023/04/30,01:19:22.8,石川県能登地方,37°31.4′N,137°19.0′E,11 km,2.9,震度１
2023/04/30,00:49:26.9,沖縄本島近海,26°01.6′N,128°46.8′E,16 km,4.7,震度１
2023/04/29,09:16:12.7,天草灘,32°20.7′N,129°51.3′E,13 km,3.7,震度２
2023/04/29,04:54:39.8,徳島県北部,33°58.1′N,133°56.4′E,38 km,3.0,震度１
2023/04/29,02:16:36.8,天草灘,32°20.8′N,129°51.4′E,13 km,3.8,震度２
2023/04/28,16:45:55.2,浦河沖,42°01.0′N,142°35.7′E,64 km,4.1,震度１
2023/04/28,13:49:03.4,群馬県南部,36°31.6′N,139°21.5′E,5 km,2.4,震度１
2023/04/28,09:38:52.3,渡島地方西部,41°28.5′N,140°11.7′E,8 km,2.9,震度３
2023/04/28,07:08:56.0,沖縄本島近海,26°26.7′N,128°16.0′E,36 km,4.1,震度２
2023/04/27,22:43:04.5,福島県沖,37°03.3′N,141°09.7′E,49 km,4.0,震度２
2023/04/27,16:43:40.5,沖縄本島近海,26°07.4′N,128°37.3′E,32 km,5.5,震度２
2023/04/27,10:40:33.4,青森県東方沖,41°35.7′N,141°57.4′E,60 km,3.6,震度１
2023/04/27,09:40:04.1,茨城県沖,36°01.7′N,140°47.2′E,29 km,3.1,震度１
2023/04/27,04:17:21.1,茨城県南部,36°04.8′N,140°05.7′E,51 km,3.4,震度２
2023/04/26,16:52:35.8,浦河沖,42°03.2′N,142°28.8′E,68 km,3.9,震度１
